iter	MultiClass
0	1.062423809
1	1.028466996
2	0.9980101475
3	0.9687675676
4	0.941623837
5	0.916962414
6	0.8939317993
7	0.8721383155
8	0.8512069266
9	0.8315675644
10	0.8132881826
11	0.796103766
12	0.7796137681
13	0.7637815253
14	0.7491198211
15	0.7348816105
16	0.7215196115
17	0.7088016021
18	0.6967362847
19	0.6856751178
20	0.675142319
21	0.6650614022
22	0.6551631042
23	0.6455965171
24	0.6362431325
25	0.6275774368
26	0.6191399303
27	0.6110465249
28	0.6034423307
29	0.5964006864
30	0.5892690074
31	0.5825522357
32	0.5760826536
33	0.5699010374
34	0.5641267047
35	0.5581847609
36	0.5528112517
37	0.547468551
38	0.5423599871
39	0.5373695222
40	0.5325771701
41	0.5281370223
42	0.5238254258
43	0.5196061947
44	0.5156963792
45	0.511822735
46	0.5083410502
47	0.5049013783
48	0.501171003
49	0.4978280375
50	0.4945299462
51	0.4914495558
52	0.4886185519
53	0.4855720259
54	0.4826045037
55	0.4798602246
56	0.4771829981
57	0.4747523783
58	0.4722288029
59	0.4698960942
60	0.4676795915
61	0.4652662489
62	0.4630104769
63	0.4610235256
64	0.4591563475
65	0.4572311773
66	0.4552742041
67	0.4534491021
68	0.4518815079
69	0.4503237992
70	0.448619637
71	0.4471335916
72	0.4457153605
73	0.4443839507
74	0.4429666558
75	0.4416789028
76	0.4404047954
77	0.4391213476
78	0.4378272933
79	0.4367403234
80	0.4354727396
81	0.4343546714
82	0.4332839952
83	0.4322402338
84	0.4312539078
85	0.4301419476
86	0.4292485832
87	0.4282533354
88	0.4274454663
89	0.4264684764
90	0.4256402268
91	0.424777471
92	0.4239329354
93	0.4230091225
94	0.422181848
95	0.4213917104
96	0.4206404319
97	0.4199090666
98	0.4191306371
99	0.4184263008
100	0.4177480598
101	0.4170971592
102	0.4164412396
103	0.416036147
104	0.4153989634
105	0.4149612465
106	0.4144499309
107	0.4137780145
108	0.4131936634
109	0.4126228559
110	0.4120688766
111	0.4116827056
112	0.411188717
113	0.4107949284
114	0.4104492985
115	0.4101248372
116	0.4098158753
117	0.4092952873
118	0.4089458031
119	0.4085360622
120	0.4081174271
121	0.4077964912
122	0.4073161817
123	0.4069243063
124	0.4064933832
125	0.4061766103
126	0.4058884351
127	0.4055051308
128	0.4051871347
129	0.4048008678
130	0.4044338205
131	0.4041189118
132	0.4038774377
133	0.4036082286
134	0.4031970858
135	0.4029417624
136	0.4023716744
137	0.4021905434
138	0.4018014841
139	0.4015530803
140	0.4013528137
141	0.4010067349
142	0.4007538951
143	0.4005091132
144	0.400232843
145	0.3998886022
146	0.3996879202
147	0.3992928713
148	0.3990347034
149	0.3986858584
150	0.3985344872
151	0.3983552893
152	0.3981098359
153	0.3978676659
154	0.3977208029
155	0.397452039
156	0.3971061089
157	0.3968224412
158	0.3965858683
159	0.3960730038
160	0.3957579738
161	0.395558264
162	0.3953400251
163	0.3951521509
164	0.3949882678
165	0.3947570473
166	0.394513411
167	0.3942891554
168	0.3939135893
169	0.3936440205
170	0.3933470502
171	0.3930137803
172	0.3927403095
173	0.3925410509
174	0.3922625203
175	0.3920004369
176	0.391809649
177	0.3915388982
178	0.3913851341
179	0.391118145
180	0.3908733031
181	0.3905992252
182	0.3904299974
183	0.3902304178
184	0.3899592744
185	0.389708612
186	0.3895304756
187	0.3893489641
188	0.3891824496
189	0.3886031128
190	0.388440535
191	0.3882425602
192	0.3880633182
193	0.387876624
194	0.3876522069
195	0.3874632873
196	0.3873396385
197	0.3872074906
198	0.3870860306
199	0.3869353934
200	0.3868110801
201	0.3866241455
202	0.3865434596
203	0.3864620554
204	0.3863008261
205	0.3862107371
206	0.3861443559
207	0.3858145376
208	0.3856771443
209	0.3855916188
210	0.3853800433
211	0.3852470308
212	0.3851300517
213	0.385024988
214	0.3848284428
215	0.38475071
216	0.3845046494
217	0.3844319947
218	0.3843255808
219	0.3841979338
220	0.3841191712
221	0.3839099108
222	0.3835367519
223	0.3834158992
224	0.3832387784
225	0.3831229594
226	0.3830281665
227	0.3829778495
228	0.3828055497
229	0.3826409571
230	0.382466579
231	0.3821243691
232	0.3820219464
233	0.3819003054
234	0.3818224562
235	0.3817320941
236	0.3817020979
237	0.3816136709
238	0.3814447337
239	0.3813180366
240	0.3811265887
241	0.3809668274
242	0.3807463289
243	0.3807061523
244	0.3805254746
245	0.3803987802
246	0.380251536
247	0.3801200762
248	0.3799743375
249	0.3798260008
250	0.379688972
251	0.3794796051
252	0.3793739405
253	0.3792194685
254	0.3790921384
255	0.3789852927
256	0.3789088371
257	0.3787807524
258	0.3787017677
259	0.3785807972
260	0.3784632461
261	0.378252771
262	0.3781205265
263	0.3779938772
264	0.3778138054
265	0.3776700905
266	0.3776526366
267	0.3775801493
268	0.3774343693
269	0.3771897199
270	0.3771197788
271	0.3770034917
272	0.3768457057
273	0.3766303788
274	0.3765145206
275	0.3764410712
276	0.3763250047
277	0.3762295966
278	0.3760721655
279	0.3759700802
280	0.3758694217
281	0.3757953694
282	0.3757238604
283	0.375608856
284	0.3754481049
285	0.3753752329
286	0.3751753964
287	0.3751115713
288	0.3750244784
289	0.3748182301
290	0.3746135463
291	0.3744142368
292	0.3740771157
293	0.3739261863
294	0.3737822338
295	0.3736594338
296	0.3735798822
297	0.3734487116
298	0.3733652337
299	0.3732416979
300	0.3731733455
301	0.3730977287
302	0.3729436135
303	0.3728514032
304	0.3727562353
305	0.3726126465
306	0.3724628589
307	0.3724169291
308	0.3723471176
309	0.3722407458
310	0.3720541805
311	0.371894953
312	0.3717583028
313	0.3716192174
314	0.3714830573
315	0.3713379253
316	0.3712454247
317	0.3711852075
318	0.3710217309
319	0.3708823734
320	0.3707125787
321	0.3706366468
322	0.3705352484
323	0.3705100684
324	0.3704391462
325	0.3702180385
326	0.3701013314
