iter	Passed	Remaining
0	43	42721
1	92	45207
2	139	45105
3	179	43633
4	237	46206
5	289	46872
6	337	46786
7	379	45943
8	443	47671
9	491	47446
10	536	47053
11	580	46615
12	625	46299
13	666	45825
14	714	45745
15	759	45568
16	810	45726
17	863	45956
18	915	46104
19	961	45962
20	1022	46480
21	1076	46662
22	1145	47450
23	1188	47155
24	1233	46907
25	1284	46941
26	1331	46792
27	1378	46687
28	1422	46457
29	1476	46556
30	1521	46392
31	1569	46307
32	1615	46159
33	1663	46093
34	1710	45982
35	1762	46011
36	1845	46828
37	1897	46836
38	1946	46772
39	1998	46756
40	2044	46631
41	2098	46662
42	2147	46585
43	2194	46486
44	2241	46366
45	2291	46331
46	2350	46454
47	2398	46364
48	2446	46281
49	2495	46225
50	2546	46181
51	2593	46080
52	2633	45864
53	2676	45702
54	2722	45594
55	2768	45490
56	2811	45327
57	2862	45308
58	2909	45216
59	2954	45105
60	3001	45029
61	3047	44932
62	3094	44851
63	3134	44660
64	3174	44494
65	3221	44424
66	3267	44335
67	3314	44259
68	3365	44237
69	3420	44268
70	3484	44421
71	3545	44515
72	3609	44645
73	3662	44640
74	3712	44598
75	3758	44512
76	3806	44442
77	3849	44317
78	3894	44223
79	3938	44115
80	3983	44019
81	4033	43974
82	4078	43882
83	4124	43802
84	4174	43762
85	4236	43839
86	4300	43943
87	4366	44060
88	4410	43954
89	4451	43826
90	4495	43723
91	4539	43618
92	4583	43514
93	4625	43400
94	4666	43278
95	4708	43158
96	4753	43076
97	4797	42977
98	4847	42938
99	4909	43005
100	4972	43082
101	5034	43142
102	5092	43166
103	5148	43164
104	5200	43141
105	5251	43104
106	5302	43067
107	5347	42979
108	5396	42924
109	5447	42885
110	5498	42849
111	5554	42850
112	5599	42764
113	5654	42758
114	5703	42701
115	5753	42653
116	5799	42580
117	5848	42523
118	5906	42537
119	5951	42453
120	6034	42639
121	6109	42769
122	6171	42801
123	6228	42793
124	6281	42762
125	6341	42779
126	6391	42729
127	6444	42695
128	6495	42649
129	6551	42632
130	6614	42667
131	6671	42658
132	6722	42612
133	6769	42539
134	6823	42508
135	6878	42482
136	6932	42457
137	6981	42394
138	7029	42329
139	7080	42278
140	7124	42189
141	7171	42117
142	7222	42072
143	7270	42007
144	7316	41930
